Month,Date,Revenue,Cost of Goods Sold,Gross Profit,Rent,Utilities,Staff Wages,Marketing Spend,Packaging Cost,Miscellaneous,Total Expenses,Net Profit,Tax,Net Profit After Tax,Category
January,01/01/2023,8420.50,3200.00,5220.50,1200.00,320.00,2400.00,150.00,180.00,95.00,4345.00,875.50,175.10,700.40,Operating
February,02/01/2023,7890.00,2980.00,4910.00,1200.00,290.00,2400.00,200.00,165.00,80.00,4335.00,575.00,115.00,460.00,Operating
March,03/01/2023,9100.00,3450.00,5650.00,1200.00,310.00,2400.00,175.00,195.00,90.00,4370.00,1280.00,256.00,1024.00,Operating
March,03/01/2023,9100.00,3450.00,5650.00,1200.00,310.00,2400.00,175.00,195.00,90.00,4370.00,1280.00,256.00,1024.00,Operating
April,04/01/2023,8650.00,3280.00,5370.00,1200.00,280.00,2400.00,220.00,175.00,85.00,4360.00,1010.00,202.00,808.00,Operating
May,05/01/2023,9200.00,3490.00,5710.00,1200.00,295.00,2400.00,180.00,198.00,92.00,4365.00,1345.00,269.00,1076.00,Operating
June,06/01/2023,9800.00,3700.00,6100.00,1200.00,340.00,2600.00,250.00,210.00,110.00,4710.00,1390.00,278.00,1112.00,Operating
July,07/01/2023,10200.00,3850.00,6350.00,1200.00,380.00,2600.00,300.00,218.00,120.00,4818.00,1532.00,306.40,1225.60,Operating
August,08/01/2023,10500.00,3950.00,6550.00,1200.00,390.00,2600.00,280.00,225.00,115.00,4810.00,1740.00,348.00,1392.00,Operating
August,08/01/2023,10500.00,3950.00,6550.00,1200.00,390.00,2600.00,280.00,225.00,115.00,4810.00,1740.00,348.00,1392.00,Operating
September,09/01/2023,9600.00,3630.00,5970.00,1200.00,310.00,2400.00,200.00,206.00,98.00,4414.00,1556.00,311.20,1244.80,Operating
October,10/01/2023,9900.00,3740.00,6160.00,1200.00,320.00,2400.00,350.00,212.00,105.00,4587.00,1573.00,314.60,1258.40,Operating
November,11/01/2023,11200.00,4230.00,6970.00,1200.00,360.00,2600.00,400.00,240.00,130.00,4930.00,2040.00,408.00,1632.00,Operating
December,12/01/2023,14500.00,5480.00,9020.00,1200.00,420.00,2800.00,500.00,310.00,180.00,5410.00,3610.00,722.00,2888.00,Operating
January,01/01/2023,,3200.00,,1200.00,320.00,2400.00,150.00,,95.00,,,175.10,,Operating
Equipment Purchase,15/03/2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4500.00,4500.00,-4500.00,0.00,-4500.00,Capital
Loan Repayment,01/06/2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,800.00,800.00,-800.00,0.00,-800.00,Financing
Loan Repayment,01/07/2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,800.00,800.00,-800.00,0.00,-800.00,Financing
Loan Repayment,01/08/2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,800.00,800.00,-800.00,0.00,-800.00,Financing
Oven Repair,22/09/2023,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,650.00,650.00,-650.00,0.00,-650.00,Capital
